,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
100,18034051,470410,0x00907f9921424583e7ffbfedf84f92b7b2be49778a2d0700,1.0,,1693478795,Gho Token,Aave v3,Aave,2023-08-31 10:00:00+00:00
101,18034015,470410,0x0b925ed163218f6662a35e0f0371ac234f9e93718a2d0700,1938.84064674,,1693478351,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 10:00:00+00:00
102,18033818,470409,0xb76cf92076adbf1d9c39294fa8e7a67579fde357892d0700,23.61329742,,1693475987,Rocket Pool Protocol,Aave v3,Aave,2023-08-31 09:00:00+00:00
103,18033810,470409,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c892d0700,1.0,,1693475891,USD Coin,Aave v3,Aave,2023-08-31 09:00:00+00:00
104,18033810,470409,0x0b925ed163218f6662a35e0f0371ac234f9e9371892d0700,1938.84064674,,1693475891,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 09:00:00+00:00
105,18033801,470409,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8892d0700,1703.96,,1693475783,Wrapped Ether,Aave v3,Aave,2023-08-31 09:00:00+00:00
106,18033765,470409,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c892d0700,1.0322847,,1693475351,Savings Dai,Aave v3,Aave,2023-08-31 09:00:00+00:00
107,18033757,470409,0x23878914efe38d27c4d67ab83ed1b93a74d4086a892d0700,0.99995,,1693475255,Tether USD,Aave v3,Aave,2023-08-31 09:00:00+00:00
108,18033733,470409,0xf6d2224916ddfbbab6e6bd0d1b7034f4ae0cab18892d0700,4.61018199,,1693474967,Uniswap,Aave v3,Aave,2023-08-31 09:00:00+00:00
109,18033717,470409,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c892d0700,1785.977835,,1693474775,Coinbase Wrapped Staked ETH,Aave v3,Aave,2023-08-31 09:00:00+00:00
110,18033639,470409,0x018008bfb33d285247a21d44e50697654f754e63892d0700,0.99987398,,1693473839,Dai Stablecoin,Aave v3,Aave,2023-08-31 09:00:00+00:00
111,18033502,470408,0x0b925ed163218f6662a35e0f0371ac234f9e9371882d0700,1940.9399689,,1693472195,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 08:00:00+00:00
112,18033478,470408,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8882d0700,1706.2,,1693471907,Wrapped Ether,Aave v3,Aave,2023-08-31 08:00:00+00:00
113,18033471,470408,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c882d0700,1.0,,1693471823,USD Coin,Aave v3,Aave,2023-08-31 08:00:00+00:00
114,18033468,470408,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9882d0700,0.99886815,,1693471787,LUSD Stablecoin,Aave v3,Aave,2023-08-31 08:00:00+00:00
115,18033454,470408,0x23878914efe38d27c4d67ab83ed1b93a74d4086a882d0700,0.99995,,1693471619,Tether USD,Aave v3,Aave,2023-08-31 08:00:00+00:00
116,18033427,470408,0xcc9ee9483f662091a1de4795249e24ac0ac2630f882d0700,1846.24436363,,1693471295,Rocket Pool ETH,Aave v3,Aave,2023-08-31 08:00:00+00:00
